Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
2000-01-05,Smooth,Santana Featuring Rob Thomas,1,1,1,24,#
2000-01-05,Back At One,Brian McKnight,2,2,2,20,#
2000-01-05,I Wanna Love You Forever,Jessica Simpson,3,3,3,13,#
2000-01-05,My Love Is Your Love,Whitney Houston,4,4,4,19,#
2000-01-05,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring Nas| Eve & Q-Tip",5,7,5,7,https://charts-static.billboard.com/img/1997/06/missy-elliott-ulk-180x180.jpg
2000-01-05,I Knew I Loved You,Savage Garden,6,5,4,12,#
2000-01-05,Auld Lang Syne,Kenny G,7,54,7,3,https://charts-static.billboard.com/img/1984/02/kenny-g-017-180x180.jpg
2000-01-05,I Need To Know,Marc Anthony,8,6,3,18,https://charts-static.billboard.com/img/1991/08/marc-anthony-iab-180x180.jpg
2000-01-05,Bring It All To Me,Blaque,9,9,9,12,https://charts-static.billboard.com/img/1999/03/blaque-039-180x180.jpg
2000-01-05,U Know What's Up,Donell Jones,10,8,7,16,#
2000-01-12,What A Girl Wants,Christina Aguilera,1,11,1,8,#
2000-01-12,Smooth,Santana Featuring Rob Thomas,2,1,1,25,#
2000-01-12,Back At One,Brian McKnight,3,2,2,21,#
2000-01-12,I Knew I Loved You,Savage Garden,4,6,4,13,#
2000-01-12,I Wanna Love You Forever,Jessica Simpson,5,3,3,14,#
2000-01-12,My Love Is Your Love,Whitney Houston,6,4,4,20,https://charts-static.billboard.com/img/1984/06/whitney-houston-u3i-180x180.jpg
2000-01-12,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring Nas| Eve & Q-Tip",7,5,5,8,https://charts-static.billboard.com/img/1997/06/missy-elliott-ulk-180x180.jpg
2000-01-12,Auld Lang Syne,Kenny G,8,7,7,4,https://charts-static.billboard.com/img/1984/02/kenny-g-017-180x180.jpg
2000-01-12,I Need To Know,Marc Anthony,9,8,3,19,https://charts-static.billboard.com/img/1991/08/marc-anthony-iab-180x180.jpg
2000-01-12,Bring It All To Me,Blaque,10,9,9,13,https://charts-static.billboard.com/img/1999/03/blaque-039-180x180.jpg
2000-01-19,What A Girl Wants,Christina Aguilera,1,1,1,9,#
2000-01-19,I Knew I Loved You,Savage Garden,2,4,2,14,#
2000-01-19,Smooth,Santana Featuring Rob Thomas,3,2,1,26,#
2000-01-19,Back At One,Brian McKnight,4,3,2,22,#
2000-01-19,Bring It All To Me,Blaque,5,10,5,14,https://charts-static.billboard.com/img/1999/03/blaque-039-180x180.jpg
2000-01-19,I Need To Know,Marc Anthony,6,9,3,20,https://charts-static.billboard.com/img/1991/08/marc-anthony-iab-180x180.jpg
2000-01-19,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring Nas| Eve & Q-Tip",7,7,5,9,https://charts-static.billboard.com/img/1997/06/missy-elliott-ulk-180x180.jpg
2000-01-19,I Wanna Love You Forever,Jessica Simpson,8,5,3,15,#
2000-01-19,Blue (Da Ba Dee),Eiffel 65,9,11,9,7,https://charts-static.billboard.com/img/1999/12/eiffel-65-000-bluedabadee-dn0-180x180.jpg
2000-01-19,My Love Is Your Love,Whitney Houston,10,6,4,21,https://charts-static.billboard.com/img/1984/06/whitney-houston-u3i-180x180.jpg
2000-01-26,I Knew I Loved You,Savage Garden,1,2,1,15,#
2000-01-26,What A Girl Wants,Christina Aguilera,2,1,1,10,#
2000-01-26,Smooth,Santana Featuring Rob Thomas,3,3,1,27,#
2000-01-26,Back At One,Brian McKnight,4,4,2,23,#
2000-01-26,Bring It All To Me,Blaque,5,5,5,15,https://charts-static.billboard.com/img/1999/03/blaque-039-180x180.jpg
2000-01-26,Blue (Da Ba Dee),Eiffel 65,6,9,6,8,https://charts-static.billboard.com/img/1999/12/eiffel-65-000-bluedabadee-dn0-180x180.jpg
2000-01-26,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring Nas| Eve & Q-Tip",7,7,5,10,https://charts-static.billboard.com/img/1997/06/missy-elliott-ulk-180x180.jpg
2000-01-26,That's The Way It Is,Celine Dion,8,11,8,12,https://charts-static.billboard.com/img/1990/10/celine-dion-1hz-180x180.jpg
2000-01-26,I Need To Know,Marc Anthony,9,6,3,21,https://charts-static.billboard.com/img/1991/08/marc-anthony-iab-180x180.jpg
2000-01-26,My Love Is Your Love,Whitney Houston,10,10,4,22,https://charts-static.billboard.com/img/1984/06/whitney-houston-u3i-180x180.jpg
2000-02-02,I Knew I Loved You,Savage Garden,1,1,1,16,#
2000-02-02,What A Girl Wants,Christina Aguilera,2,2,1,11,#
2000-02-02,Smooth,Santana Featuring Rob Thomas,3,3,1,28,#
2000-02-02,Back At One,Brian McKnight,4,4,2,24,#
2000-02-02,Get It On Tonite,Montell Jordan,5,15,5,16,#
2000-02-02,Bring It All To Me,Blaque,6,5,5,16,https://charts-static.billboard.com/img/1999/03/blaque-039-180x180.jpg
2000-02-02,Blue (Da Ba Dee),Eiffel 65,7,6,6,9,https://charts-static.billboard.com/img/1999/12/eiffel-65-000-bluedabadee-dn0-180x180.jpg
2000-02-02,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring Nas| Eve & Q-Tip",8,7,5,11,https://charts-static.billboard.com/img/1997/06/missy-elliott-ulk-180x180.jpg
2000-02-02,That's The Way It Is,Celine Dion,9,8,8,13,https://charts-static.billboard.com/img/1990/10/celine-dion-1hz-180x180.jpg
2000-02-02,I Need To Know,Marc Anthony,10,9,3,22,https://charts-static.billboard.com/img/1991/08/marc-anthony-iab-180x180.jpg
2000-02-09,I Knew I Loved You,Savage Garden,1,1,1,17,#
2000-02-09,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,2,22,2,10,#
2000-02-09,What A Girl Wants,Christina Aguilera,3,2,1,12,#
2000-02-09,Get It On Tonite,Montell Jordan,4,5,4,17,#
2000-02-09,Smooth,Santana Featuring Rob Thomas,5,3,1,29,https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg
2000-02-09,Back At One,Brian McKnight,6,4,2,25,https://charts-static.billboard.com/img/1999/08/brian-mcknight-uld-backatone-nl9-180x180.jpg
2000-02-09,All The Small Things,blink-182,7,15,7,11,https://charts-static.billboard.com/img/1999/08/blink-182-2pa-allthesmallthings-rny-180x180.jpg
2000-02-09,Bring It All To Me,Blaque,8,6,5,17,https://charts-static.billboard.com/img/1999/03/blaque-039-180x180.jpg
2000-02-09,Blue (Da Ba Dee),Eiffel 65,9,7,6,10,https://charts-static.billboard.com/img/1999/12/eiffel-65-000-bluedabadee-dn0-180x180.jpg
2000-02-09,That's The Way It Is,Celine Dion,10,9,8,14,https://charts-static.billboard.com/img/1990/10/celine-dion-1hz-180x180.jpg
2000-02-16,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,1,2,1,11,#
2000-02-16,I Knew I Loved You,Savage Garden,2,1,1,18,#
2000-02-16,What A Girl Wants,Christina Aguilera,3,3,1,13,#
2000-02-16,Get It On Tonite,Montell Jordan,4,4,4,18,#
2000-02-16,Smooth,Santana Featuring Rob Thomas,5,5,1,30,https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg
2000-02-16,All The Small Things,blink-182,6,7,6,12,https://charts-static.billboard.com/img/1999/08/blink-182-2pa-allthesmallthings-rny-180x180.jpg
2000-02-16,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring Nas| Eve & Q-Tip",7,11,5,13,https://charts-static.billboard.com/img/1997/06/missy-elliott-ulk-180x180.jpg
2000-02-16,Maria Maria,Santana Featuring The Product G&B,8,15,8,2,https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg
2000-02-16,Bring It All To Me,Blaque,9,8,5,18,https://charts-static.billboard.com/img/1999/03/blaque-039-180x180.jpg
2000-02-16,Show Me The Meaning Of Being Lonely,Backstreet Boys,10,12,10,8,https://charts-static.billboard.com/img/1995/10/backstreet-boys-waj-180x180.jpg
2000-02-23,I Knew I Loved You,Savage Garden,1,2,1,19,#
2000-02-23,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,2,1,1,12,#
2000-02-23,Amazed,Lonestar,3,18,3,30,#
2000-02-23,What A Girl Wants,Christina Aguilera,4,3,1,14,#
2000-02-23,Breathe,Faith Hill,5,21,5,17,https://charts-static.billboard.com/img/1993/10/faith-hill-n2i-180x180.jpg
